文本,真实标签,预测标签,文本长度
在青岛，这个酒店真的只能说是很一般，位置还可以，但门口非常不好叫车，其实等着很多车但只去机场，市区短途的他们都不去，礼宾部也视而不见。服务来讲在沿海城市的众多酒店中很一般，没什么特色。相信在青岛有很多更好的选择！,正面,负面,106
这个屏真爽啊，还没发现有什么点。反光也不强。30万像素的摄像头还挺清楚的。电池能用3个小时。,正面,负面,46
"非常纯朴的故事,但包含了主人公坎坷的一生,活着就是痛苦,不得不佩服生命的韧性",负面,正面,38
"酒店硬件和位置都好,但服务令人生气.12日大地震这一天,我通过携程入住了这酒店.第二天,因为办事延误了,没有来得及退房.下午携程问是否要退?但因已经过了十二点,我们要求延住,结果被告知二间房房价涨40元和50元了,说是星期一是特价,星期二取消特价了.我说我们连同住了两天应该是同一价,但酒店后来说,如果当时通过携程预订,住两天也是两个价的.如果退房的话,要收半天的费,还说三星以上宾馆加收10%服务费.总之感觉象是被宰了,今后是不会再入住这宾馆了. 补充点评 2008年5月14日 ： 补；由于天下雨，我们要向酒店借伞，并出示住房证，告知我们是酒店客人。谁知被告知先登记，再每人押100元，缺乏人性化。同样的事发生在凤凰佳居酒店，只要出示房证登记就可以了。",正面,负面,328
"儿子现在两周九个月了,平时就有玩?下蛋游戏?,这回拿到的书,不仅看到?下蛋游戏?,还有?钓鱼游戏?等等,每天一看到我就抓我说,妈妈,我们一起到外面钓鱼去吧~要不,?妈妈,我下了个很大的蛋哦,我有个大屁股,哈哈,给你吃,我狂晕~?不过从内心上非常感动,儿子,自己懂得自娱自乐了,有时还会带领他的小伙伴们做游戏,当然,他就是老大,嘻!",负面,正面,165
好长时间没有这么快读完一本书了。能够抓住读者心理写故事，语言浅显而又引人入胜。在现在快节奏的生活中不失为一种很好的消遣方式。正好教学刘基的《卖柑者言》，大多数学生对他不了解，学生不喜欢教科书上对刘基庄重而又冷冰冰的介绍哦。我趁此借用这本书上看来的，并把它换成了轻松的语言，又穿插了几个小故事，学生们很感兴趣且很快对刘基有了些了解。我还向学生推荐了这本书。谢谢《明朝那些事儿》。我还想再买几本读下去啊！,负面,正面,200
很纳闷的是第六期我没有收到卡片，我还想集齐了24张的。。这点最不满意,正面,负面,34
这本书我想应该大部分人都看过，感觉挺好的,正面,负面,20
早餐是中式，有些东西很奇怪。 住店停车还收费，不应该。,正面,负面,27
酒店有点偏，（没有地铁站），19：30后就没有shuttle bus了。大堂很小，也没有什么设施。不过，房间很好，也有海景。,正面,负面,62
"去的时候 ,酒店大厅和餐厅在装修,感觉大厅有点挤.由于餐厅装修本来该享受的早饭,也没有享受(他们是8点开始每个房间送,但是我时间来不及了)不过前台服务员态度好!",正面,负面,80
这本书是我无意中从网上发现的，看了简介觉得不错就继续把整个故事看完。里面的情节让人觉得伤感，特别是后半段。因为以前没有看过师生恋的故事，觉得觉得作者写得不错。但唯一觉得不好的是那个结局。就像香港的连续剧那样留下一个悬念让你自己去发挥想象。其实这样是最让读者讨厌的。因此，个人认为虎头蛇尾的结局是这本的书的败笔。另外，我有点奇怪为什么当当的书的纸质有点怪怪的。究竟是不是真货啊？,正面,负面,188
"我家小宝同学特别喜爱卡梅拉系列故事,每天晚上睡觉前非讲不可,那些可爱的故事会陪着他进入梦乡......我自已也很喜欢不一样的卡梅拉,因为里面的图画很有趣,会说话的图片,我认为是这样的,现在儿子已经会自已讲(我想去看大海)了,希望过一段时间,我就可以当一名聆听者了.卡梅拉 皮迪克 卡梅利多 卡门 贝里奥 科尔贝 小六子 小刺头 小胖驐,真的是太有趣了,有机会一定要推荐给所有的小朋友看看",负面,正面,193
"酒店位于昆明中心区,地理位置不错,可惜酒店服务有些差,第一天晚上可能入住的客人不多,空调根本没开,打了电话问,说是中央空调要晚上统一开,结果晚上也没开,就热了一晚上,第二天有开会的入住,晚上就有了空调,不得不说酒店经济帐作的好.房间的床太硬,睡的不好.酒店的早餐就如其他人评价一样,想法的难吃. 不过携程的预订价钱还不错.",正面,负面,161
上册真的有点气愤，新发表的一篇短篇是很欣赏的，但是后面竟然加了和以前买的短篇集的内容一样，作者在后面有说明，但是真的是令人有种乱花钱的感觉。但是就是不能分开买，要整套买，哎，无尽叹气。下册我是超级没意见啦，下册才是真正想要的，但是还是那句话，要整套买。哎。。。。。。。。。。。。。,正面,负面,140
我觉得本本还是不错的，但没想到买到康柏的，虽然现在是HP的，但还 是有一点失望。,正面,负面,40
房间还算可以，但硬件设施偏差，服务水平也很一般。,正面,负面,24
招待所而已吧，唯一可取之处就是交通还行，三环边上。,负面,正面,25
先买了《不一样的卡梅拉》的前六册给儿子，每天晚上睡觉前都和他躺在被窝儿里读，我们俩都很喜欢。喜欢书上俏皮的图画，喜欢作者丰富的想象力。后来第七册《我要找到朗朗》刚一出，我就赶紧买来和儿子一起分享了。我们热切地期待着《不一样的卡梅拉》的第八册、第九册、第十册.......。因为我们喜欢卡梅拉、皮迪克、卡梅拉多、卡门带给我们的各种各样的、充满想象力的故事。,负面,正面,177
喜欢AMD的芯片，性价比不错。这款散热不错喜欢AMD的芯片，性价比不错。这款散热不错,负面,正面,42
总体很满意，但有一点需改进，我在9楼入住，走时到1楼前台结帐时由9楼层服务员检查房间，发现我有零星物品遗失在房间，我当时请他们送下来，结果答复是到4楼客房服务部去取，我到了4楼，又说服员员没时间，又要到9楼去取。当然这没什么，但是如果他们给东西送下来，哪怕是到4楼就取到了东西，我会对酒店有更好的印象。,正面,负面,151
"职场氦气的秘密却始终不会过时,每一位职场人士都可以拿来为己所用支持！",正面,负面,34
可以坐地铁8号线，在曲阜路下车出地铁就到了。西藏北路路口出。到对面就能找到国庆路。不过这个酒店的毛巾，浴巾相当的旧，而且还是黄色的那种，我都没有用过。还好只是住了一天。比较起来对面的晋元大酒店在这方面做的就好多了，旧是旧了点但是毛巾比较好，起码可以用。不过这个地方相对来说很安静。,负面,正面,140
我没有语言来形容这部书。看到这部书是从我手机的QQ信息里。当时简单的看了一下大概内容还可以。偶尔上网时来当当上看看就看到了这本书。买了第一本回去看了。这一看就是一发不可收拾。看了已经十多遍了。每次看心里都有揪心的痛。还让我的很多同事看了。现在我已经很珍惜的收藏了这本书。现在又买了这部书的第二部续集。希望又一次可以打动我的心吧。四眼小狗网很珍惜这本书。希望大家都来分享,正面,负面,184
一本蕴含广博严谨深沉的论语，在于丹的诠释下，变得唯美而华丽，灰色的教条变成了华丽的文学盛宴。,负面,正面,46
体检时查出我有轻度脂肪肝，按书里的说法，这是肝脏周围堆积了内脏脂肪引发的。平时工作忙，早餐几个包子就打发了，中午是工作餐，热量高又没什么营养，晚上常常陪客户吃饭。饮食既不健康又不规律，内脏脂肪就会积聚在体内，自然会有轻度脂肪肝了。书里介绍了内脏脂肪的自查方法，还有许多减去内脏脂肪的建议，很实用，我决定采纳适合自己的建议和方法。,正面,负面,164
"令人潸然泪下的好书.太值得拥有了.当当不错,能及时改正不足,^_^,继续支持!!!",正面,负面,41
"这次入住发现在服务上下了工夫.比如在走道上,洗手间放了报纸.餐厅早餐自助餐服务,电梯服务都很周到.其实宾馆服务硬件不一定要很豪华,但要真心对待客人.希望坚持.",正面,负面,79
读了第二遍，比较喜欢Edward和Bella感情发展的细节描写很喜欢，反复看，还下载了英文版对照着看，赞~~~,正面,负面,55
"我相信自己,不论怎么做自己才是真的认真过自己的生活在二十岁十如果不能精彩的去闯荡怎么能在三十岁 四十岁 再回到二十岁的心??在什么时期 做什么时期该做的事不去比较",负面,正面,81
相对价格而言，很不错。可是我订的商务大床房间隔音太差，隔壁房间电话声音、咳嗽声等清清楚楚，太没私密空间了。,正面,负面,53
"住这个酒店实在是太享受了,不仅可以使用五彩缤纷的白毛巾,还可以免费听赏别人KTV包厢里的高音演奏.!! 以下是某某歌奏家的话,,,,,谢谢 谢谢大家 首先我要感谢我的父母 还要感谢背后支持我的朋友们 让我有了以噪音感化大家的机会 现在我再为大家献上一首!!希望大家夜不能眠!!!!!!!",负面,正面,143
"唯一的遗憾,书有些质量问题,开头三四页正中有很多装订的粗针扎的孔.",正面,负面,33
拿到这套书，我一眼就喜欢上了，做工很精致，封皮很精美，图画很逼真，很有真实感。可是我觉得我家宝宝23个月看这套书有点早，这套书的内容文字说明过长，小宝宝没那么多的耐性听完整个故事，即使听完了，我个人认为他也不会理解太多，而且书里的图画颜色不是很丰富，小动物的动作表情少，不能吸引小宝宝，如果再大一些的宝宝应该会喜欢这套书，我准备留着等我宝贝大一些再给他看,正面,负面,177
明明信用卡担保了.跑过去住说没有房间了.只好升级.最后酒店没有收升级的钱.但是还是很不愉快.不过酒店是不错的.万豪的管理不错.,正面,负面,63
爸爸不在家的时候，小朋友对我说：“妈妈，今天你当爸爸好不好？”,正面,负面,31
用起来还不错，本人还有几张2000-100 1000-50 东券要的加qq 673946022,负面,正面,47
快4岁的女儿很喜欢!同时买的还有《女孩子必读的100个公主故事》，因为女儿近期特别喜欢迪士尼的公主，所以买了，同是买了卡梅拉的全套加这个第七册，没想到女儿听公主故事只是听，而这个卡梅拉的她听了还要自己拿过来不断翻看，还发出咯咯的笑声。。。。。。看了几遍了，我发现这是我这几年买的书里她最喜欢的书..,负面,正面,149
"豪华商务房,面积非常大,但颇有大而无当之感,酒店的地毯很脏,污渍随处可见,空气里面有挥之不去的酒气. 建议携程考察一步之遥的华阳酒店,不少当地的朋友都推荐我们入住华阳.",正面,负面,84
华硕品牌我喜欢，已经买过几台了。这台是帮朋友买的。性价比不错，但是刚抢购4999返现400=4599货还没有发到，价格就4499了，很是郁闷。产品质量是厂家的问题，可价格质量是京东的问题啊！我觉得京东应该退我100元！！！,正面,负面,111
完美屏 内存加到3个G 自己装的XP 真的很难找XP的恢复盘 IBM的启动项比较多 进程数有70个 Vista系统太慢了,正面,负面,60
除了环境比较好，在云龙公园对面，酒店设施太旧了，价格高，性价比低，在这个天气，房间里竟然有好多蚊子，半夜被蚊子打扰几次,负面,正面,59
优点： 外观够有型，配置很不错，价格合理，非常适合商务使用 不足： 光驱偶尔声音真的很大，底部发热量很大。 总结： 特价4999的价格购买还是很超值的，值得,负面,正面,78
"哈哈哈哈..... 居然还可以继续评论啊 那就给满分了 下次去了继续住 忘记说了,有房内按摸的服务的 可惜没时间去试了, 下次去还会住的......",正面,负面,74
flash分编程和动画两部分，这本书说的是flash CS3，可是脚本的运用任然是AS2.0的，这是已经被渐渐淘汰的脚本格式flash CS3使用的最新脚本格式AS3.0却完全没有涉及，而且就算在运用脚本的课程部分，也只是让人自己复制已经写好的代码上去，没有讲解脚本的详细构成而且书中有些动画的基础绘制部分的步骤省略过去了，完全初学者看起来会有些头疼不过总体来说，还是非常入门的书籍，不算很糟糕,正面,负面,197
呵呵，又住了回豪华双床房，感觉房间比标间大了，没那么压抑，床也大了，比较舒服。就是电视太小了，农村的朋友家估计都没有这么小的电视了吧。卫生间还是太简陋了，和酒店的整体定位不匹配。衣柜里缺少浴袍，总可以提供两套吧，我住过的更便宜的酒店都有提供。,正面,负面,121
"整体尚可.优点很多就不说了.单就缺点罗列如下,望改进: 1,房内夜间有异响.象是水滴或是气流的声音. 2,宽带要服务台开通才可使用.开始不明白,耽误了好多事. 3,被子感觉很不好,不透气,象一层塑料罩着一样,很难受(个人感受). 4,落地灯插座没电.只好趴在桌下找桌后的插座. 5,卫生间隔音不是一般的差.",正面,负面,153
在孔夫子有卖的，注意是1980年8月版的，封面所写为“任应秋主编”，编写说明中写明是“个人执笔，集体审查”。1986年版主编好像不是任老，他已于84年辞世。,正面,负面,78
